CENTRAL PROSPECT													
M30/0216	Live	893	13-Jun-11	12-Jun-32	"13,395"	Iron Ore Rights							
M30/0217	Live	893	13-Jun-11	12-Jun-32	"13,395"	Iron Ore Rights							
E30/0321	Live	12	08-Aug-07	07-Aug-12	"2,118"	Iron Ore Rights							
E30/0349	Pending	5			567.5								
P30/1083	Live	115	27-Oct-09	26-Oct-13	253	Iron Ore Rights							
BANJO PROSPECT													
M30/0206	Live	893	02-Jul-07	01-Jul-28	"13,395"	Iron Ore Rights							
M30/0227	Live	595	13-Jun-11	12-Jun-32	"8,925"	Iron Ore Rights							
M30/0228	Live	595	02-Jul-07	01-Jul-28	"8,925"	Iron Ore Rights							
M30/0229	Live	892	02-Jul-07	01-Jul-28	"13,380"	Iron Ore Rights							
LOST WORLD PROSPECT													
M30/0206	Live	893	02-Jul-07	01-Jul-28	"13,395"	Iron Ore Rights							
M30/0229	Live	892	02-Jul-07	01-Jul-28	"13,380"	Iron Ore Rights							
RAIL SIDING													
MP29/1895	Live	117	17-Apr-07	16-Apr-15	270.27								
													
													
													
Applicable Tenement	Condition												
"The follow conditions apply
to all the licences"	"•	All surface holes drilled for the purpose of exploration are to be capped,
filled or otherwise made safe after completion.
•	All costeans and other disturbances to the surface of the land made as a
result of exploration, including drill pads, grid lines and access tracks, being
backfilled and rehabilitated to the satisfaction of the Environmental Officer,
Department of Industry and Resources (DoIR).	Backfilling and
rehabilitation being required no later than 6 months after excavation unless
otherwise approved in writing by the Environmental Officer, DoIR.
•	All waste materials, rubbish, plastic sample bags, abandoned equipment and
temporary buildings being removed from the mining tenement prior to or at
the termination of exploration program.
•	Unless the written approval of the Environmental Officer, DoIR is first
obtained, the use of scrapers, graders, bulldozers, backhoes or other
mechanised equipment for surface disturbance or the excavation of costeans
is prohibited. Following approval, all topsoil being removed ahead of
mining operations and separately stockpiled for replacement after backfilling
and/or completion of operations."												
E30/240	Portions of these licences are overlain by the Mt. Manning Nature Reserve. This												
E30/321	"reserve was granted in April 2000, and is identified by Western Australian
Government reference number 36208. The iron mineralisation of the Ularring"												
E30/349	Hematite Project does not encroach on the nature reserve (Figure 4-2).												
M30/213	"There are no heritage agreements in place as there are no registered native title
claimants within the project tenements."												
1V130/22 /													
P30/1083													
E30/240	• The construction and operation of the project and measures to protect the												
E30/321	"environment being carried out generally in accordance with the document
titled:
-	""Notice of Intent - Low Impact Mining Operation - Costeaning on
Exploration Licence 30/240"" dated 16 September 2003 and signed
by Mr Troy - Dalla-Costa and retained on Department of Industry
and Resources File No. 7173/99;
-	""Programme of Work on M30/243, E30/240, E30/230 for
Internickel Australia Pty Ltd"" (Reg ID 29205) dated 9 December
2010 signed by Andrew Spinks and retained on Department of
Mines and Petroleum File No. EARS-POW-29205
• Where a difference exists between the above document(s) and the following
conditions, then the following conditions shall prevail."												
	"-	The development and operation of the project being carried out in
such a manner so as to create the minimum practicable disturbance
to the existing vegetation and natural landform.
-	All topsoil being removed ahead of all mining operations from sites
su"												
E30/240	"•	The prior written consent of the Minister for Mines being obtained before
commencing mining on Conservation of Flora & Fauna Reserve 36208.
•	The land the subject of this Licence affects a Rare Flora site or sites declared
under the Wildlife Conservation Act 1950. The Licensee is advised to
contact the Department of Conservation and Land Management for detailed
information on the management of Declared Rare Flora present within the
tenement area."												
E30/240	• The Licensee's attention is drawn to the Minister's requirement that the												
M30/243	"holder of this Licence lodge security in the form of an Unconditional
Performance Bond for due compliance with environmental conditions in the
sum of: $20,000."												
all the Mining Licences	"Prior to lodgement of a Programme of Work (PoW), the lessee preparing a
Conservation Management Plan (CMP) to address the conservation impacts of
the proposed activities and submitting the CMP to the relevant Regional
Manager of the Department of Environment and Conservation (DEC). This CMP
shall be prepared pursuant to DEC-prepared ""Guidelines for Conservation
Management Plans Relating to Mineral Exploration on Lands Managed by the
Department of Environment and Conservation"" to meet the requirements of the
Minister for Environment for acceptable impacts to conservation estate. A copy
of the CMP and of DEC's decision on its acceptability under the guidelines is to
accompany the lodgement of the PoW application with the Department of Mines
and Petroleum."												
M30/206	At least five working days prior to accessing the reserve or proposed reserve												
M30/213	"area, unless otherwise agreed with the relevant Regional Manager of the
Department of the Environment and Conservation (DEC-R), the holder"												
M30/216	"providing the DEC-R with an itinerary and programme of the locations of
operations on the lease area and informed at least five days in advance of any"												
	changes to that itinerary. All activities and movements shall comply with												
M30/229	"reasonable access and travel requirements of the DEC-R regarding
seasonal/ground conditions"												
E30/240	The follow conditions apply to No interference with Geodetic Survey Station												
M30/227	"NMF 395 and mining within 15 metres thereof being confined to below a depth
of 15 metres from the natural surface."												
M30/243													
"M30/206,"	"• The lessee submitting to the Director of Environment, Department of Mines"												
"M30/213,"	"and Petroleum (DMP), and to the relevant Regional Manager, Department of
the Environment and Conservation (DEC-R) a project completion report"												
"M30/214,"	outlining the project operations and rehabilitation work undertaken in the												
"M30/216,"	"programme. This report is to be submitted within six months of completion
of the exploration activities."												
M30/217	"• All Mining Proposals submitted for the commencement, alteration or
expansion of operations within the tenement boundary are to contain
information that demonstrates the proponent has genuinely engaged with the"												
													
													
													
													
													
				\									
													
													
				V									
													
													
													
Type	Drill Holes	Meters	Max Depth (m)										
Diamond	7	523	127										
Open Hole Percussion	15	658	60										
Total	22	"1,181"											
Company	Type	Tenement	Holes Drilled	Metres Drilled									
Aztec	Rotary Air Blast	"E30/99, E30/100"	80	"3,442"									
Battle Mountain	Rotary Air Blast	E30/99	41	"1,897"									
Total			121	"5,339"									
													
													
													
													
													
													
													
													
													
													
													
	RC		Diamond										
Row Labels	Holes	Metres	Holes	Metres									
	Drilled		Drilled										
Banjo North	48	"3,720"	1	63									
Central	58	"3,531"											
Lost World	10	852											
Moonshine	64	"8,861"											
Snark	578	"35,137"	11	575.4									
Drabble Downs	49	"2,510"											
Grand Total	807	"54,611"	12	638									
	RC		Metres analysed for										
Row Labels	Holes	Metres	XRF Fe suite whole										
	Drilled		rock only										
Banjo North	49	"3,783"	"2,538"										
Central	58	"3,531"	"2,447"										
Lost World	10	852	572										
Moonshine	64	"8,861"	"1,661"										
Snark	589	35712.4	"20,641"										
Drabble Downs	49	2510	2131										
Grand Total	819	"55,249"	"29,990"										
													
													
													
													
													
													
													
CRM Code	Element	Expected Mean (%)	STDEV										
GIOP-45	Fe	59.93	0.128										
	Al2O3	2	0.031										
	SiO2	4.99	0.045										
	P	0.05	0.001										
	LOI	6.6	0.069										
GIOP-64	Fe	56.32	0.217										
	Al2O3	2.6	0.04										
	SiO2	8.07	0.099										
	P	0.037	0.001										
	LOI	5.5	0.058										
													
													
													
60		/		"X Orig.Fe%
Y Dup.Fe%
Orig.Fe% Dup.Fe%
Mean	30.22	30.23
Var	26685	266.94
SD	16.34	16.34
Pairs	1106
Corr Coefficient 1.00
Regression y=Ax + B
Coefficient A 1.0000
Coefficient B 0.0081
FRatio 1.0003
10% QAQC Limits
0 2% fall outside 10% QAQ
CSA
Snark September 2011
Correlation Analysis
Orig.Fe% vs Dup.Fe%
Ultratrace
22/09/2011"									
40	/												
"Dup.Fe%
20 /)"	o / dr												
	"20	OriaFe%"	40											
													
													
Testwork		Composite Data											
"Snark DSO grade sample
Assay"	Fe Grade	59.40%											
	SiO2 Grade	4.80%											
	Al2O3 Grade	2.71%											
	P Grade	0.09%											
	S Grade	0.13%											
	LOI Grade	7.20%											
In Situ SG		3.1											
Unconfined Compressive Strength		15.5 MPa											
Bond Crushing Work Index		4.5 kWhr/t											
Abrasion Index		0.07											
"Banjo DSO grade sample
Assay"	Fe Grade	57.20%											
	SiO2 Grade	6.60%											
	Al2O3 Grade	3.87%											
	P Grade	0.07%											
	S Grade	0.13%											
	LOI Grade	7.20%											
In Situ SG		2.6											
Unconfined Compressive Strength		38.1 MPa											
Bond Crushing Work Index		3.7 kWhr/t											
Abrasion Index		0.07											
Snark Beneficiation grade sample													
"Assay	Fe Grade"	53.60%												
SiO2 Grade	12.90%												
Al2O3 Grade	2.69%												
P Grade	0.08%												
S Grade	0.14%												
LOI Grade	7.20%												
In Situ SG	3												
Unconfined Compressive Strength	11.3 MPa												
Bond Crushing Work Index	4.6 kWhr/t												
Abrasion Index	0.12												
Sample Number	Sample Description	Mass (g)	Result										
PE058997.001	Snark High Grade Composite	530 g	No asbestos detected										
S121049 -051	Banjo Drillhole samples	>400g ea	"No asbestos detected
Organic fibres detected"										
PE059637.001	"Snark Low grade Comp, -8mm head"	970 g	"No asbestos detected
Organic fibres detected"										
Product	"Mass
(%)"	"Fe
(%)"	"S1O2
(%)"	"Al2O3
(%)"	"P
(%)"	"S
(%)"	"LOI-1000
(%)"	"CaFe
(%)"					
"Snark Deposit
Lump"	35.8	60.2	3.6	2.1	0.102	0.13	7.9	65.4					
Fines	64.2	58.9	5.5	3.04	0.081	0.132	6.8	63.2					
Feed	100	59.4	4.8	2.7	0.089	0.131	7.2	64					
"""Banjo Deposit"													
Lump													
"Fines"""	"52.0
48.0"	"59.0
55.2"	"5.0
8.3"	"2.90
4.84"	"0.06
0.06"		"7.1
7.0"	"63.5
59.4"					
Feed	100	57.2	6.6	3.8	0.06		7.1	61.5					
	Mass	Fe	SiO2	Al2O3	P	S	LOI-1000	CaFe					
Size range mm	(%)	(%)	(%)	(%)	(%)	(%)	(%)	(%)					
"-8.0, +4.0"	34.7	52.8	14.7	2.12	0.075	0.098	6.9	56.8					
"-4.0, +1.0"	29.7	54.3	11.2	2.82	0.089	0.147	7.6	58.8					
-1	35.7	53.6	12.6	3.14	0.086	0.16	7	57.7					
Calc'd Head	100	53.6	12.9	2.69	0.083	0.135	7.2	57.8					
"Strata
-8 +4mm"	"Mass
(%)"	"Fe
(%)"	"SiO2
(%)"	"Al2O3
(%)"	"P
(%)"	"S
(%)"	"LOI-1000
(%)"	"CaFe
(%)"					
Top	2.8	48	13.9	6.15	0.1	0.49	10.5	53.6					
Upper	5.1	52	14.1	2.7	0.09	0.17	8	56.5					
Upper Central	5.7	54.3	12.4	2.37	0.082	0.12	7.4	58.6					
Lower Central	6.3	53.2	15.2	1.89	0.071	0.079	6.5	56.9					
Lower Central	6.2	53	15.6	1.67	0.075	0.066	6.4	56.6					
Bottom	8.7	57.4	10.4	1.3	0.069	0.041	6	61					
Calc'd Head	34.7	53.8	13.4	2.24	0.078	0.12	7	57.9					
"""Strata"													
"-4 +1 mm"""	"Mass
(%)"	"Fe
(%)"	"SiO2
(%)"	"Al2O3
(%)"	"P
(%)"	"S
(%)"	"LOI-1000
(%)"	"CaFe
(%)"					
Top	3.5	48.1	14.9	5.68	0.11	0.3	9.9	53.4					
Upper	4	51.1	13.2	3.8	0.099	0.27	9	56.1					
Upper Central	5.3	53.7	12.1	2.82	0.09	0.17	7.9	58.3					
Lower Central	5.1	54.9	11.5	2.14	0.086	0.1	7.1	59.1					
Lower Central	5.1	54.3	12.1	2.22	0.086	0.11	7.1	58.4					
Bottom	6.7	59	8	1.56	0.073	0.061	5.9	62.7					
Calc'd Head	29.7	54.2	11.5	2.78	0.088	0.152	7.6	58.6					
Strata	Mass	Fe	SiO2	Al2O3	P	S	LOI-1000	CaFe					
-8 +4mm	(%)	(%)	(%)	(%)	(%)	(%)	(%)	(%)					
Top	34.7	53.8	13.4	2.24	0.078	0.12	7	57.9					
Upper	31.9	54.3	13.3	1.9	0.076	0.088	6.7	58.2					
Upper Central	26.9	54.7	13.2	1.75	0.074	0.072	6.5	58.5					
Lower Central	21.2	54.9	13.4	1.58	0.071	0.06	6.3	58.5					
Lower	14.9	55.6	12.6	1.45	0.072	0.051	6.2	59.2					
Bottom	8.7	57.4	10.4	1.3	0.069	0.041	6	61					
Strata -4 +1mm	"Mass
(%)"	Fe (%)	"SiO2
(%)"	"Al2O3
(%)"	P (%)	S (%)	"LOI-1000
(%)"	"CaFe
(%)"					
Top	29.7	54.2	11.5	2.78	0.088	0.152	7.6	58.6					
Upper	26.2	55	11.1	2.4	0.085	0.132	7.2	59.3					
Upper Central	22.2	55.7	10.7	2.15	0.083	0.107	6.9	59.9					
Lower Central	16.9	56.3	10.3	1.94	0.081	0.088	6.6	60.3					
Lower	11.8	57	9.8	1.85	0.079	0.082	6.4	60.9					
Bottom	6.7	59	8	1.56	0.073	0.061	5.9	62.7					
Table Product	"Mass
(%)"	Fe (%)	"SiO2
(%)"	"Al2O3
(%)"	P (%)	S (%)	"LOI-1000
(%)"	"CaFe
(%)"					
Concentrate 1	3.8	65.2	2.53	1	0.048	0.043	3.2	67.3					
Concentrate 2	10	57.3	8.89	1.96	0.078	0.078	6.2	61.1					
Concentrate 3	7.9	51.5	14.3	3.49	0.095	0.17	8	56					
Concentrate 4	3.4	47.8	17.9	4.53	0.096	0.21	8.5	52.3					
Concentrate 5	1.7	46.2	21.7	4.4	0.09	0.14	7.7	50.1					
Concentrate 6	1	48.3	19.9	3.61	0.084	0.1	7	51.9					
Concentrate 7	2	48.5	18.9	3.83	0.089	0.11	7.2	52.3					
Tails	6	51.7	13.9	4.27	0.093	0.15	7.5	55.9					
Calc'd Head	35.7	53.7	12.6	3.09	0.084	0.124	6.9	57.7					
Table Product	"Mass
(%)"	Fe (%)	"SiO2
(%)"	"Al2O3
(%)"	P (%)	S (%)	"LOI-1000
(%)"	"CaFe
(%)"					
Concentrate 1	3.8	65.2	2.5	1	0.048	0.043	3.2	67.3					
Concentrates 1- 2	13.8	59.5	7.2	1.7	0.07	0.068	5.3	62.8					
Concentrates 1- 3	21.6	56.6	9.8	2.35	0.079	0.105	6.3	60.4					
Concentrates 1- 4	25	55.4	10.8	2.64	0.081	0.119	6.6	59.3					
Concentrates 1- 5	26.7	54.8	11.5	2.76	0.082	0.121	6.7	58.7					
Concentrates 1- 6	27.7	54.6	11.8	2.79	0.082	0.12	6.7	58.5					
Concentrates 1- 7	29.7	54.2	12.3	2.86	0.082	0.119	6.7	58.1					
Conc 1-7 plus Tails	35.7	53.7	12.6	3.09	0.084	0.124	6.9	57.7					
Product	"Mass
(%)"	Fe (%)	"SiO2
(%)"	"Al2O3
(%)"	P (%)	S (%)	"LOI-1000
(%)"	"CaFe
(%)"					
Coarse Jig	8.7	57.4	10.4	1.3	0.069	0.041	6	61					
Fine Jig	22.2	55.7	10.7	2.15	0.083	0.107	6.9	59.9					
Table	21.6	56.6	9.8	2.35	0.079	0.105	6.3	60.4					
Total Con	52.5	56.3	10.3	2.09	0.079	0.096	6.5	60.3					
													
													
													
													
													
													
													
Parameter	All Fines												
Width of pile-toe to toe	30 m												
Number of piles	2												
Capacity per pile	"30,000 t"												
Total capacity	"60,000 t"												
Overall length of each pile-longitudinal	80 m												
													
													
													
Deposit	Wireframe	MINZON											
Snark	Mini tr/pt to min58 tr/pt	1 to 58											
Drabble Downs	Min101 tr/pt to min105 tr/pt	101 to 105											
	FE (%)	P (%)	SIO2 (%)	AL2O3(%)	LOI (%)	S (%)							
Samples	3875	3875	3875	3875	3875	3875							
Minimum	10.3	0	0.97	0.22	2.68	0							
Maximum	65.41	0.25	55.83	29.69	20.66	3.65							
Mean	54.79	0.07	8.44	4.54	7.8	0.16							
"Standard
deviation"	6.38	0.03	6.26	3.3	2.08	0.22							
CV	0.12	0.45	0.74	0.73	0.27	1.35							
Variance	40.73	0	39.19	10.88	4.33	0.05							
	FE (%)	P (%)	SIO2 (%)	"AL2O3
(%)"	LOI (%)	S (%)							
Samples	3572	3572	3572	3572	3572	3572							
Minimum	10.3	0	0.97	0.22	2.68	0							
Maximum	65.41	0.25	48.72	29.69	17	2.75							
Mean	54.8	0.08	8.55	4.52	7.7	0.15							
"Standard
deviation"	6.43	0.03	6.27	3.35	2.04	0.2							
CV	0.12	0.45	0.73	0.74	0.27	1.34							
Variance	41.36	0	39.31	11.22	4.15	0.04							
	FE (%)	P (%)	SIO2 (%)	"AL2O3
(%)"	LOI (%)	S (%)							
Samples	303	303	303	303	303	303							
Minimum	22.92	0.01	1.36	0.77	4.36	0.02							
Maximum	64.11	0.23	55.83	17.18	20.66	3.65							
Mean	54.63	0.07	7.16	4.86	8.97	0.3							
"Standard
deviation"	5.77	0.03	6.02	2.62	2.22	0.35							
CV	0.11	0.5	0.84	0.54	0.25	1.16							
Variance	33.29	0	36.19	6.86	4.92	0.12							
	"Log Histogram for S
Domain All"												
»00.			"Weight* IFi
Sid Dev: 0.220
CV; I.S5J"										
7 30		am	"_	‘.I.·."										
"i .
£ *'*'
%	34S·
£
I 3.7*."													
			1	"hi·.	"									
		s (g' l)											
													
Hole Type	Number Probed	Number of Holes Assayed											
Diamond	11	0											
RC	82	54											
	"1
1
J
1
1
1
1"		"FI
Lit"	"E-G
D
Le of n"	"DE
Da
ata Se
jgressi"	"NS
la Set
2: D
on (R"	"IT\
1: Do
omain
= 0.21"	"' Sc
nain a
all GI
0): y"	"att<
11 FE
)ENS
= 0.01"	"er F
TY
2x +"	"•lot
.951"	"o tj
o °"	"O
1	o
jOgj
£oo o
ip ?"
"3
2	T -IS"	"I
1
1
? 1"							o°	"o
o"	"8 °
o O
°o°§c"			
	"1
f
I"					o	o o	o	"<P o
°"				
">1
E—j
V!
1
o"	"1
1
1
1
1"			o	"’	o"	"z>	°
°o"		o	3°	"° 6
o
o
o
c"	"cr
o°
o
o"	"Ip
a"	",o %
o
o"
"|
q"	"1
1
,
f
1
f
i"								o	o			
	"J
1
1
f"											M	
		1	0 1	"5	2"	"0 2
Dc"	"3
>main a"	"0	3
11 FE ("	"5	4
101 va"	"0	4
lues)"	"5	5"	"0	5"	6	0
Variable	Cut	"Number Samples
Cut"	Raw Mean (%)	Cut Mean (%)									
Fe	35 1	69	54.79	54.92									
P	0.2	27	0.075	0.075									
SiO2	32	37	8.44	8.38									
Al2O3	20	31	4.54	4.52									
LOI	-	-	7.8	-									
S	1.8	10	0.163	0.162									
													
Domain	Domain Extent	"Datamine Drill Hole
File"	Number of Samples										
Domain 1	X<782000	cutcmp dom1	393										
Domain 2	X>782000 and X<785200	cutcmp dom2	"2,759"										
Domain 3	X>785200	cutcmp dom3	420										
Domain 4	Drabble Downs	cutcmp dom4	303										
"""Grade"													
"Variable"""	Axes	Direction	Nugget	Sill 1	"Range 1
(m)"	Sill 2	"Range 2
(m)"						
Fe	1	0 to 130	0.2	0.46	33	0.34	109						
	2	-80 to 220			8		16						
	3	-10 to 040			5		10						
P	1	0 to 130	0.13	0.42	47	0.45	195						
	2	-80 to 220			7		28						
	3	-10 to 040			5		21						
S	1	0 to 130	0.1	0.9	115		-						
	2	-80 to 220			32		-						
	3	-10 to 040			15		-						
													
	(True Downhole) : Continuity for P			(Direction 1) 00—>130: Continuity for P									
	Domain Dom 2				Domain Dom 2								
		iTl									—		
	"?*Sph( 0.45,"								"*^Sph(0,45,194.5"		33X0		
5			5										
		•23X0 «5									•23X0 «5		
1	"f +Sph(0.42,5)"		1	j +Sf	"<0.42,46."	)							
0.23-	N( 0.13 )	•10X0	0.23-	N( 0.13 ) 1							•ICXO		
													
				"25	30"	73				"XO	223	230"				
	Sample Separation (m)					Sample Separation (m)							
	"(Direction 2) -80—>220: Continuity for P
Domain Dom 2"			"(Direction 3) -10—>040: Continuity for P
Domain Dom 2"									
		·=»		•									
	"^ge?***’ ^Sph( 0.45, 28.5 )"			N( 0.45 )									
Gamma (0 001)	"""^Sph( 0.42, 7 )"	Pair Counts	Gamma (0 001)	"N( 0.42)	' i“"		Pair Counts							
0.23	N( 0.13 )	10000	0.23-	"N( 0.13)	1	."		ICXO							
	"?l	1	1	l|	|	|	!|	I	I	I"			"-II..	1	. .	.1"									
				"a	X	73	m	123	130	175	2CO	225	251"									
	Sample Separation (m)			Sample Separation (m)									
Block Model Parameters: Model sn0911md													
	X	Y	Z										
Origin	"781,500"	"6,695,500"	390										
Extent	"5,000m"	"3,500m"	160m										
"""Block Size (sub"													
"block)"""	25 (2.5)	25 (2.5)	10 (1.0)										
Attributes:													
MINZON	"Mineralisation domain (1-100 are Snark, >100 are Drabble Downs)"												
TOPO	"In-situ (50), below mineralisation (99)"												
FLAG	Temporary variable to control block domain assignment												
FE	Ordinary Kriged (OK) Fe Grade												
FE IDS	Inverse Distance Squared (IDS) Fe Grade												
SIO2	Ordinary Kriged (OK)SiO2 Grade												
P	Ordinary Kriged (OK) Phosphorus Grade												
AL2O3	Ordinary Kriged (OK) Al2O3 Grade												
S	Ordinary Kriged (OK) Sulphur Grade												
LOI	Ordinary Kriged (OK) LOI Grade												
SLOPE	Theoretical slope of regression; derived from OK Fe block estimate												
KE	Kriging efficiency; derived from OK Fe block estimate												
SRCHVOL	Estimation Pass												
DENSITY	Assigned bulk density												
CLASS	"NI43-101 Classification (1 = Measured, 2 = Indicated, 3 = Inferred).
No measured was assigned to this model."												
All	Composites	OK Estimate											
Fe	54.9	54.7											
P	0.075	0.072											
SiO2	8.4	8.7											
Al2O3	4.5	4.6											
LOI	7.8	7.8											
S	0.16	0.17											
Snark	Composites	OK Estimate											
Fe	54.9	54.7											
P	0.075	0.073											
SiO2	8.5	8.9											
Al2O3	4.5	4.5											
LOI	7.7	7.7											
S	0.15	0.15											
Drabble Downs	Composites	OK Estimate											
Fe	54.7	54.5											
P	0.067	0.06											
SiO2	7.1	7.2											
Al2O3	4.9	5.1											
LOI	9	8.9											
S	0.29	0.36											
													
6695925	6695950	6695975	"o
o
o
CD
cn
CD
CD"	6696025	6696050	6696075	"o
o
CD
cn
CD
CD"	6696125	6696150	6696175	6696200		
						Northing							
													
													
	"Number of
1m samples"	"Fe
%"	"P
%"	"SiO2
%"	"AljO3
%"	"LOI
%"	"S
%"						
Area													
													
Moonshine	198	53.02	0.056	12.25	4.19	5.96	0.156						
Central	498	55.1	0.061	8.19	4.41	7.94	0.14						
Banjo-Lost World	707	55.45	0.065	8.18	4.69	7.24	0.154						
Central Potential	FE	P	SIO2	AL2O3	LOI	S							
DSO intecepts													
Samples	498	498	498	498	498	498							
Minimum	26.13	0.011	0.89	0.65	3.09	0.005							
Maximum	65.65	0.188	28.81	21.6	14.36	1.88							
Mean	55.1	0.061	8.19	4.41	7.94	0.14							
Standard deviation	6.1026	0.0274	4.9711	3.2573	2.2291	0.1612							
CV	0.1107	0.4495	0.6066	0.7386	0.2808	1.1482							
Variance	37.2414	0.0008	24.7114	10.6097	4.9687	0.026							
Skewness	-1.4717	1.1765	1.2718	2.0449	0.1396	4.9007							
Log samples	498	498	498	498	498	498							
Log mean	4.0021	-2.899	1.9212	1.2537	2.0295	-2.3823							
Log variance	0.0157	0.2207	0.3928	0.47	0.0884	0.935							
Geometric mean	54.7099	0.0551	6.829	3.5034	7.6104	0.0923							
10%	48.2	0.029	2.86	1.38	5.05	0.026							
20%	51.6	0.038	4.08	1.98	5.82	0.043							
30%	53	0.046	5.09	2.55	6.52	0.067							
40%	54.5	0.052	6.18	3.02	7.16	0.086							
50%	55.8	0.059	7.17	3.59	7.81	0.102							
60%	57.1	0.065	8.21	4.26	8.51	0.128							
70%	58.4	0.071	9.57	5.07	9.18	0.159							
80%	59.7	0.078	11.8	6.2	10.11	0.195							
90%	62	0.094	14.4	8.07	11.11	0.252							
95%	63.2	0.107	19.27	10.97	11.7	0.335							
97.50%	64.1	0.121	21.08	14.01	12	0.605							
99%	64.6	0.155	25.92	17.32	12.14	0.93							
"""Banjo-Lost World"													
Potential DSO													
"intecepts"""	FE	P	SIO2	AL2O3	LOI	S							
Samples	707	707	707	707	707	706							
Minimum	6.37	0.008	1.09	0.62	2.54	0.005							
Maximum	63.8	0.203	45.9	33.1	19	3.46							
Mean	55.45	0.065	8.18	4.69	7.24	0.154							
Standard deviation	5.3337	0.0265	4.9297	2.8384	1.8072	0.2314							
CV	0.0962	0.4098	0.6029	0.6052	0.2497	1.5001							
Variance	28.4488	0.0007	24.3023	8.0566	3.266	0.0535							
Skewness	-2.6193	1.0197	2.2042	3.2921	0.7245	6.4492							
Log samples	707	707	707	707	707	706							
Log mean	4.0087	-2.8221	1.9442	1.4009	1.9482	-2.369							
Log variance	0.018	0.1777	0.3213	0.2912	0.063	0.9231							
Geometric mean	55.0736	0.0595	6.9879	4.0587	7.016	0.0936							
10%	50.3	0.034	3.42	1.97	5.03	0.029							
20%	52.1	0.043	4.36	2.61	5.69	0.045							
30%	53.3	0.049	5.13	3.08	6.26	0.062							
40%	54.7	0.055	6.16	3.6	6.68	0.076							
50%	56.1	0.061	7.3	4.13	7.1	0.092							
60%	57.5	0.068	8.42	4.77	7.53	0.114							
70%	58.5	0.075	9.77	5.57	8.07	0.145							
80%	59.7	0.085	11.29	6.46	8.64	0.181							
90%	61	0.097	13.5	7.67	9.64	0.308							
95%	61.8	0.111	16.9	8.79	10.25	0.507							
